Quantity,Sales,Month,Date,Class
55,164.45,28,9,1
62,185.38,29,9,1
53,158.47,30,9,1
70,209.3,1,10,1
71,212.29,2,10,0
85,254.15,3,10,0
70,209.3,4,10,1
67,200.33,5,10,1
67,200.33,6,10,1
80,239.2,7,10,0
78,233.22,8,10,0
69,206.31,9,10,1
65,194.35,10,10,1
60,179.4,11,10,1
72,215.28,12,10,0
63,188.37,13,10,1
61,182.39,14,10,1
69,206.31,15,10,1
68,203.32,16,10,1
83,248.17,17,10,0
63,188.37,18,10,1
88,263.12,19,10,0
63,188.37,20,10,1
63,188.37,21,10,1
67,200.33,22,10,1
89,266.11,23,10,0
87,260.13,24,10,0
66,197.34,25,10,1
69,206.31,26,10,1
83,248.17,27,10,0
83,248.17,28,10,0
70,209.3,29,10,1
79,236.21,30,10,0
71,212.29,31,10,0
67,200.33,1,11,0
59,176.41,2,11,1
64,191.36,3,11,0
78,233.22,4,11,0
68,203.32,5,11,0
64,191.36,6,11,0
78,233.22,7,11,0
72,215.28,8,11,0
82,245.18,9,11,0
65,194.35,10,11,0
51,152.49,11,11,1
89,266.11,12,11,0
76,227.24,13,11,0
67,200.33,14,11,0
59,176.41,15,11,1
60,179.4,16,11,0
75,224.25,17,11,0
76,227.24,18,11,0
64,191.36,19,11,0
66,197.34,20,11,0
72,215.28,21,11,0
67,200.33,22,11,0
54,161.46,23,11,1
63,188.37,24,11,0
66,197.34,25,11,0
65,194.35,26,11,0
65,194.35,27,11,0
51,152.49,28,11,1
67,200.33,29,11,0
53,158.47,30,11,1
98,293.02,1,12,1
152,454.48,2,12,0
113,337.87,3,12,1
109,325.91,4,12,1
152,454.48,5,12,0
126,376.74,6,12,1
116,346.84,7,12,1
122,364.78,8,12,1
122,364.78,9,12,1
129,385.71,10,12,1
121,361.79,11,12,1
136,406.64,12,12,0
154,460.46,13,12,0
137,409.63,14,12,0
140,418.6,15,12,0
123,367.77,16,12,1
202,603.98,17,12,0
99,296.01,18,12,1
154,460.46,19,12,0
133,397.67,20,12,0
165,493.35,21,12,0
133,397.67,22,12,0
171,511.29,23,12,0
133,397.67,24,12,0
129,385.71,25,12,1
139,415.61,26,12,0
116,346.84,27,12,1
138,412.62,28,12,0
148,442.52,29,12,0
159,475.41,30,12,0
166,496.34,31,12,0
