Quantity,Sales,Date,Month,Class
16,1759.84,18,12,1
21,2309.79,19,12,0
24,2639.76,20,12,0
23,2529.77,21,12,0
17,1869.83,22,12,1
17,1869.83,23,12,1
18,1979.82,24,12,0
26,2859.74,25,12,0
13,1429.87,26,12,1
20,2199.8,27,12,0
24,2639.76,28,12,0
22,2419.78,29,12,0
20,2199.8,30,12,0
24,2639.76,31,12,0
