Quantity,Sales,Month,Date,Class
68,812.6,16,4,1
91,1087.45,17,4,0
76,908.2,18,4,0
57,681.15,19,4,1
65,776.75,20,4,1
66,788.7,21,4,1
45,537.75,22,4,1
63,752.85,23,4,1
68,812.6,24,4,1
65,776.75,25,4,1
58,693.1,26,4,1
58,693.1,27,4,1
75,896.25,28,4,0
68,812.6,29,4,1
68,812.6,30,4,1
54,645.3,1,5,0
56,669.2,2,5,0
51,609.45,3,5,0
74,884.3,4,5,0
55,657.25,5,5,0
49,585.55,6,5,1
53,633.35,7,5,0
60,717,8,5,0
60,717,9,5,0
69,824.55,10,5,0
51,609.45,11,5,0
66,788.7,12,5,0
80,956,13,5,0
62,740.9,14,5,0
61,728.95,15,5,0
61,728.95,16,5,0
80,956,17,5,0
60,717,18,5,0
72,860.4,19,5,0
66,788.7,20,5,0
52,621.4,21,5,0
61,728.95,22,5,0
62,740.9,23,5,0
68,812.6,24,5,0
54,645.3,25,5,0
51,609.45,26,5,0
68,812.6,27,5,0
56,669.2,28,5,0
73,872.35,29,5,0
54,645.3,30,5,0
45,537.75,31,5,1
58,693.1,1,6,0
44,525.8,2,6,1
55,657.25,3,6,0
49,585.55,4,6,1
47,561.65,5,6,1
56,669.2,6,6,0
46,549.7,7,6,1
31,370.45,8,6,1
37,442.15,9,6,1
52,621.4,10,6,1
65,776.75,11,6,0
50,597.5,12,6,1
58,693.1,13,6,0
44,525.8,14,6,1
49,585.55,15,6,1
61,728.95,16,6,0
65,776.75,17,6,0
50,597.5,18,6,1
40,478,19,6,1
64,764.8,20,6,0
50,597.5,21,6,1
46,549.7,22,6,1
47,561.65,23,6,1
64,764.8,24,6,0
50,597.5,25,6,1
49,585.55,26,6,1
45,537.75,27,6,1
50,597.5,28,6,1
60,717,29,6,0
52,621.4,30,6,1
70,836.5,1,7,0
48,573.6,2,7,1
54,645.3,3,7,1
43,513.85,4,7,1
39,466.05,5,7,1
57,681.15,6,7,1
67,800.65,7,7,0
58,693.1,8,7,1
48,573.6,9,7,1
54,645.3,10,7,1
55,657.25,11,7,1
50,597.5,12,7,1
49,585.55,13,7,1
54,645.3,14,7,1
67,800.65,15,7,0
58,693.1,16,7,1
36,430.2,17,7,1
64,764.8,18,7,0
56,669.2,19,7,1
53,633.35,20,7,1
53,633.35,21,7,1
48,573.6,22,7,1
52,621.4,23,7,1
47,561.65,24,7,1
68,812.6,25,7,0
53,633.35,26,7,1
56,669.2,27,7,1
55,657.25,28,7,1
56,669.2,29,7,1
47,561.65,30,7,1
52,621.4,31,7,1
42,501.9,1,8,1
48,573.6,2,8,0
40,478,3,8,1
29,346.55,4,8,1
46,549.7,5,8,0
41,489.95,6,8,1
37,442.15,7,8,1
55,657.25,8,8,0
43,513.85,9,8,1
44,525.8,10,8,1
44,525.8,11,8,1
34,406.3,12,8,1
50,597.5,13,8,0
46,549.7,14,8,0
49,585.55,15,8,0
52,621.4,16,8,0
34,406.3,17,8,1
33,394.35,18,8,1
42,501.9,19,8,1
43,513.85,20,8,1
46,549.7,21,8,0
46,549.7,22,8,0
48,573.6,23,8,0
39,466.05,24,8,1
62,740.9,25,8,0
52,621.4,26,8,0
42,501.9,27,8,1
45,537.75,28,8,0
36,430.2,29,8,1
29,346.55,30,8,1
47,561.65,31,8,0
58,693.1,1,9,0
58,693.1,2,9,0
50,597.5,3,9,1
43,513.85,4,9,1
50,597.5,5,9,1
44,525.8,6,9,1
51,609.45,7,9,1
43,513.85,8,9,1
50,597.5,9,9,1
42,501.9,10,9,1
49,585.55,11,9,1
46,549.7,12,9,1
44,525.8,13,9,1
58,693.1,14,9,0
53,633.35,15,9,1
54,645.3,16,9,1
51,609.45,17,9,1
39,466.05,18,9,1
55,657.25,19,9,1
46,549.7,20,9,1
39,466.05,21,9,1
49,585.55,22,9,1
46,549.7,23,9,1
48,573.6,24,9,1
36,430.2,25,9,1
47,561.65,26,9,1
53,633.35,27,9,1
49,585.55,28,9,1
48,573.6,29,9,1
55,657.25,30,9,1
78,932.1,1,10,1
71,848.45,2,10,1
75,896.25,3,10,1
67,800.65,4,10,1
72,860.4,5,10,1
78,932.1,6,10,1
79,944.05,7,10,1
78,932.1,8,10,1
76,908.2,9,10,1
82,979.9,10,10,0
67,800.65,11,10,1
76,908.2,12,10,1
66,788.7,13,10,1
71,848.45,14,10,1
96,1147.2,15,10,0
93,1111.35,16,10,0
76,908.2,17,10,1
81,967.95,18,10,0
80,956,19,10,0
85,1015.75,20,10,0
82,979.9,21,10,0
77,920.15,22,10,1
72,860.4,23,10,1
93,1111.35,24,10,0
82,979.9,25,10,0
83,991.85,26,10,0
89,1063.55,27,10,0
85,1015.75,28,10,0
61,728.95,29,10,1
90,1075.5,30,10,0
82,979.9,31,10,0
74,884.3,1,11,1
77,920.15,2,11,1
68,812.6,3,11,1
67,800.65,4,11,1
75,896.25,5,11,1
62,740.9,6,11,1
72,860.4,7,11,1
75,896.25,8,11,1
65,776.75,9,11,1
59,705.05,10,11,1
59,705.05,11,11,1
62,740.9,12,11,1
66,788.7,13,11,1
59,705.05,14,11,1
56,669.2,15,11,1
68,812.6,16,11,1
75,896.25,17,11,1
54,645.3,18,11,1
74,884.3,19,11,1
69,824.55,20,11,1
89,1063.55,21,11,0
66,788.7,22,11,1
78,932.1,23,11,0
65,776.75,24,11,1
70,836.5,25,11,1
83,991.85,26,11,0
57,681.15,27,11,1
63,752.85,28,11,1
73,872.35,29,11,1
82,979.9,30,11,0
100,1195,1,12,1
91,1087.45,2,12,1
90,1075.5,3,12,1
87,1039.65,4,12,1
97,1159.15,5,12,1
130,1553.5,6,12,0
104,1242.8,7,12,0
102,1218.9,8,12,0
86,1027.7,9,12,1
96,1147.2,10,12,1
109,1302.55,11,12,0
117,1398.15,12,12,0
110,1314.5,13,12,0
104,1242.8,14,12,0
103,1230.85,15,12,0
103,1230.85,16,12,0
110,1314.5,17,12,0
105,1254.75,18,12,0
107,1278.65,19,12,0
97,1159.15,20,12,1
101,1206.95,21,12,1
104,1242.8,22,12,0
115,1374.25,23,12,0
118,1410.1,24,12,0
118,1410.1,25,12,0
110,1314.5,26,12,0
109,1302.55,27,12,0
102,1218.9,28,12,0
111,1326.45,29,12,0
108,1290.6,30,12,0
103,1230.85,31,12,0
